img_id,img_saved_id,pre,re,TPs,FPs,FNs,Pre_ave,Re_ave
47507,47507_0_46.png,0.9090909090909091,1.0,10,1,0,0.9090909090909091,1.0
12560,12560_0_47.png,1.0,0.8888888888888888,8,0,1,0.8888888888888888,0.8888888888888888
36056,36056_0_48.png,1.0,0.9375,15,0,1,1.0,0.9375
16040,16040_0_49.png,0,0,0,0,3,0.0,0.0
49674,49674_0_50.png,1.0,0.8333333333333334,10,0,2,0.9090909090909091,0.8333333333333334
25034,25034_0_51.png,0.8461538461538461,1.0,11,2,0,0.8461538461538461,1.0
6278,6278_0_52.png,1.0,0.7142857142857143,10,0,4,0.8333333333333334,0.7142857142857143
26987,26987_0_53.png,1.0,0.7368421052631579,14,0,5,0.9333333333333333,0.7368421052631579
45761,45761_0_54.png,1.0,0.8421052631578947,16,0,3,1.0,0.8421052631578947
23532,23532_0_55.png,1.0,0.9,9,0,1,1.0,0.9
36098,36098_0_56.png,1.0,1.0,8,0,0,1.0,1.0
42479,42479_0_57.png,1.0,1.0,10,0,0,1.0,1.0
9446,9446_0_58.png,1.0,1.0,3,0,0,1.0,1.0
19125,19125_0_59.png,1.0,1.0,1,0,0,1.0,1.0
422,422_0_60.png,1.0,1.0,6,0,0,1.0,1.0
3063,3063_0_61.png,1.0,0.8333333333333334,10,0,2,0.9090909090909091,0.8333333333333334
35461,35461_0_62.png,1.0,0.9090909090909091,10,0,1,0.9090909090909091,0.9090909090909091
9431,9431_0_63.png,1.0,1.0,9,0,0,1.0,1.0
36746,36746_0_64.png,1.0,0.8571428571428571,6,0,1,1.0,0.8571428571428571
31307,31307_0_65.png,1.0,1.0,15,0,0,1.0,1.0
56695,56695_0_66.png,1.0,1.0,6,0,0,1.0,1.0
2928,2928_0_67.png,1.0,1.0,1,0,0,1.0,1.0
30796,30796_0_68.png,1.0,1.0,1,0,0,1.0,1.0
50583,50583_0_69.png,1.0,0.2,1,0,4,0.5,0.2
30402,30402_0_70.png,1.0,0.9375,15,0,1,1.0,0.9375
28501,28501_0_71.png,1.0,0.5,4,0,4,0.6666666666666666,0.5
2701,2701_0_72.png,1.0,0.8888888888888888,8,0,1,0.8888888888888888,0.8888888888888888
